-- A B sel_fn Y Z
2588d2a2 bedc7d70 c bfdcfff2 0
bc79cfef 05dc08ef 3 e7f78000 0
33351156 a100e150 2 11560000 0
8ae106fd bc874beb 0 476852e8 0
1b27a84d b0bc6121 1 6a6b472c 0
16840676 92acced7 2 3b000000 0
380d7c50 1f8a47d6 c 3f8f7fd6 0
a7af3a35 bec61a70 3 3a350000 0
a46fdcb0 9e781185 a 05237ee5 0
a34dc589 9491b289 2 9b8b1200 0
b6a68fcf 20e3356a b ffeda9a3 0
9f487419 94e4b400 7 00000000 1
a7030a30 213c4fe4 3 7030a300 0
a43bd89e a3d4aa78 0 48108316 0
bc2edd5d 04466420 3 bc2edd5d 0
1aacba8e a682bcff 8 bc2e0671 0
abd8b54d 8dd4b370 6 00000000 1
0a852e4c 0109abe8 f 00012a48 0
0ef59a11 abb99c82 a 03bd6684 0
a74a7b84 1b32fb86 0 c27d770a 0
20e170e3 102da6f1 2 e1c60000 0
8a125bb2 3fa1de88 0 c9b43a3a 0
87e632f7 149e5fe2 1 7347d315 0
1beaaf07 9d5bd021 c 9ffbff27 0
23cc51a0 906f8ab3 b 00000479 0
37f91828 b6a3a14d 3 23050000 0
1c1896a2 9cdbf4e0 4 00000000 1
9c410f83 a24255c7 0 3e83654a 0
abf0ccc6 0fbc86ad 3 1998c000 0
029d7d25 3d81dc91 d 3f9dfdb5 0
3c8af00f 32ae8237 3 07800000 0
99185457 0d2c451b 8 9434114c 0
89525e22 8a90d8f3 8 03c286d1 0
316c1671 1b0fdd6c a 000316c1 0
11f64ebd 0d1823cc 1 04de2af1 0
0b1f9a9d 23a776e1 0 2ec7117e 0
0ec4914d 0ebd2c5e f 0e84004c 0
3a3c8e8b ac97b652 5 00000000 1
bac5780a 2aeba5f9 c baeffdfb 0
865ce839 28efa1c3 5 00000001 0
1d364a22 9309c37a 0 b0400d9c 0
9a4b835d 2b1160ee 6 00000000 1
1128ddd1 367b5316 c 377bdfd7 0
a4347520 9675af46 d b675ff66 0
26116880 3e6f03b0 3 68800000 0
00dacf1f 94769d3f b 00000000 1
1f4ff641 0be5ff4a 0 2b35f58b 0
a21b26eb 87844407 5 00000000 1
1ac5a341 acf72cb4 a 000001ac 0
b96e5189 9f3cc9f1 9 26529878 0
87bbf100 0007be90 6 00000000 1
32e56a9c 0e05d73b 9 3ce0bda7 0
1f6cb67a 203a4831 f 00280030 0
a3aa853d bde4b1fe 4 00000001 0
07b70581 a605f10d a 00003db8 0
a0b058b0 866af566 9 26daadd6 0
b68fc0f4 297e1db4 f 200e00b4 0
a6d4ed73 98b80b84 d befceff7 0
99ecd6a2 317d1191 2 ad440000 0
bd74cf65 a0b00a5a a 0000002f 0
bc0eeceb 3b72b6d7 8 877c5a3c 0
aeeb27e7 039923e9 c affb27ef 0
9f1aa78a b34ff26b 8 2c5555e1 0
00326f4d b4854e73 9 b4b7213e 0
25254007 b18fbfaf 0 d6b4ffb6 0
a16a2f00 95fd752e d b5ff7f2e 0
12ebddc1 0f135472 8 1df889b3 0
8cbda613 96903311 8 1a2d9502 0
9b91ae98 3b144f77 8 a085e1ef 0
17a41842 2afe2091 0 42a238d3 0
b2ea0c91 27200450 b ffffb2ea 0
8431338d 84d76a57 2 c6800000 0
29da4e16 b7a4e57d 0 e17f3393 0
0cc3daf6 af958a66 b 00330f6b 0
9d99859d 9d3d6a12 4 00000000 1
1bf65503 a0436623 0 bc39bb26 0
0eb242d8 3386a64e a 00003ac9 0
0d676b17 04ef1337 2 8b800000 0
0fa92ac0 25ef36ed a 00007d49 0
197782bf 0947ea4e 1 102f9871 0
ad82c514 1181a51e 4 00000001 0
96dfb480 1cdeaa1a b ffffffe5 0
054b7d28 8c669d53 6 00000001 0
b06debd6 95a80e25 5 00000000 1
b20e5917 905ac57a 1 21b3939d 0
b40fc255 16793452 b ffffed03 0
25aba5b3 250dbf36 f 2509a532 0
a1ca9c35 355ec927 b ff439538 0
9d3696c6 b9f40130 9 24c297f6 0
85e79eaf 00c7062a 4 00000001 0
3e85f289 0cb6be9c 2 90000000 0
994cf8ef bca0e700 c bdecffef 0
10e51c55 aa0b1e7f 1 66d9fdd6 0
0584b68c 099d690f 2 5b460000 0
35d905fb b2681c64 6 00000001 0
27a87ec5 a905fec6 7 00000001 0
110f0847 ba94a27c c bb9faa7f 0
adeecdf5 3e8feaec 4 00000001 0
37c0b29b 89cd5157 0 c18e03f2 0
1757eef7 97cf4974 e 17474874 0
0fda96a6 03bd0bc4 2 fda96a60 0
9b75d071 a60bf2ca 8 3d7e22bb 0
8669409c 24434d73 3 04e00000 0
ba08d64a 034a73a4 0 bd5349ee 0
bae73d84 bd852168 1 fd621c1c 0
8eb109aa 968ad6a8 b ff8eb109 0
b226186d 0e854973 b fffff644 0
acab1a5a 3d594690 8 91f25cca 0
1fb1e4b2 30ffe216 2 2c800000 0
a11c925f 91e96e98 f 81080218 0
9fa70e91 b0fe16a2 b e7e9c3a4 0
b01ef922 3d19444c 6 00000000 1
9d1c14bf 8730df84 e 85101484 0
99567d8a 0adce11b c 9bdefd9b 0
a2514cc1 10b2d8e2 4 00000001 0
147fa6c9 b5a6133d c b5ffb7fd 0
b8113934 a38b1222 2 e044e4d0 0
2cfd11d2 9a8aa4bf c beffb5ff 0
90b01445 aed2d6f8 7 00000001 0
1516f5af 0c0354dd c 1d17f5ff 0
894cd20e 980df100 f 880cd000 0
1e2f1b33 8c3d72f6 1 91f1a83d 0
1910558f 24e44d1a e 0000450a 0
22e5b4b8 221f43b3 0 4504f86b 0
1a40b07c a10359fd 6 00000001 0
02a5a0ec 0538a839 a 00000001 0
3c31d91a bb946dbb 6 00000001 0
bbd6afd8 8cfab48c 9 372c1b54 0
271b1adb 365c9632 2 6b6c0000 0
a2760ba9 aeb3cd5e 6 00000001 0
34227582 9a22fc96 1 99ff78ec 0
8c897ee0 abef56ff c afef7eff 0
1beb73ef a0b4069e 7 00000001 0
3c6d87f2 27ec4637 8 1b81c1c5 0
2d2d8ee4 0c70aff9 a 00000016 0
babf8e87 b7135121 9 0dacdfa6 0
02e9c163 1fe6c512 b 000000ba 0
9e10b0d3 265c616c b fff9e10b 0
16f95b78 bdafc453 9 ab569f2b 0
966f0fbc 3ac31286 d beef1fbe 0
b9dc2d84 91554560 3 b9dc2d84 0
1d37cecd 0a11459a 7 00000000 1
33b6296c a5aeee01 9 9618c76d 0
8f6bb92b 96447a78 b ffffff8f 0
a49de03a 23c042c0 0 c85e22fa 0
a14db6fd 8c2277ad 5 00000000 1
ab792204 06c81556 6 00000000 1
adb7070e b38b2d7b 7 00000001 0
b2c24b47 86c70582 9 34054ec5 0
8a2f168c 0d45767a f 08051608 0
89afc5f0 3a7008e9 b ffc4d7e2 0
2a6fe536 0e243600 3 2a6fe536 0
ae5e45c3 a406ccfb b fffffff5 0
a2a63657 2a8527a1 c aaa737f7 0
aab71eed 2a621223 c aaf71eef 0
275b6f59 bf37cc68 c bf7fef79 0
29ed12d8 8fd5e9a9 0 b9c2fc81 0
2c8a02df 1e1811a1 a 1645016f 0
bf91629f b4701808 0 74017aa7 0
a319339d a4aee23d 7 00000001 0
03552fba 3fa2d3a9 c 3ff7ffbb 0
347ce472 12559f3d c 367dff7f 0
2dbb02ae 96eebc45 3 b76055c0 0
a7ee2366 997c4cad 8 3e926fcb 0
920f84ea b3f4c95b f 9204804a 0
bb48339b 2ccbe80f 5 00000001 0
3123e620 23c49e7a a 0000000c 0
93319e5d 14ffaa48 4 00000001 0
366d56ad 2405c253 7 00000000 1
a2de55c8 37763a6b 6 00000000 1
063f47f6 981831ca 6 00000001 0
335d43c2 a78ddffa 8 94d09c38 0
1ffd10c7 1903c284 3 ffd10c70 0
acf44e3b ae136276 5 00000001 0
8241770a 969cd0a2 d 96ddf7aa 0
9abaf5f3 2a14c94b 8 b0ae3cb8 0
8113c97c 06ec59a8 0 88002324 0
b9424f33 959b6a87 e 91024a03 0
1f6ef328 a282fac6 5 00000000 1
a4b0bc3c 16e3f7d6 c b6f3fffe 0
056c97c9 110bdaf3 f 010892c1 0
9161175b 23d4d0bd d b3f5d7ff 0
a396a36b 990269a1 4 00000000 1
8bb1eee1 a18e9e08 7 00000001 0
01f718df 081b18f8 4 00000001 0
30492772 9d0bede1 c bd4beff3 0
a6a721da 878ce6ce 5 00000000 1
8dc95969 03f6811a a 00000023 0
b3b640e0 8fff31db 5 00000000 1
936d9c3d 2de7897f a 00000001 0
9f635843 9c9790e2 c 9ff7d8e3 0
3dcc3f2e 966f0e51 9 aba3317f 0
03c9d2de 3b2337b9 2 bc000000 0
037e38aa 2760d740 d 277effea 0
bc38ea58 910e7a7c d bd3efa7c 0
3f22ee22 2902ef75 c 3f22ef77 0
26939c11 897b4154 0 b00edd65 0
a2c16c46 22d6598b a 0014582d 0
ae372908 085bcf90 9 a66ce698 0
0a3acbe3 b3daba8f 8 b9e0716c 0
0bfe4e58 991e2f04 b 00bfe4e5 0
2f15e1e1 3444e55c 2 10000000 0
2c248b20 051aecf0 9 293e67d0 0
37920903 94c418e7 f 14800803 0
36e115f3 36872fda c 36e73ffb 0
858e627f b09b4363 e 808a4263 0
13b56722 b064961b e 10240602 0
af686691 2fd7013d 5 00000001 0
3189c67e 1a705316 8 2bf99568 0
15af9883 ae33aa61 e 04238801 0
2edeea65 91be354b 9 bf60df2e 0
3c07b9ec 293b6148 4 00000000 1
355d3b32 8353b1cb b 0006aba7 0
92507f17 05650ebf e 00400e17 0
0351896e b5a4d1b9 8 b6f558d7 0
1cb89ac8 8e0d526c 2 89ac8000 0
bba34658 b8877cd1 3 8cb00000 0
0e1409de b73d0370 a 00000e14 0
b20ce58e a0bea833 1 114e3d5b 0
974c6781 a26835c0 1 f4e431c1 0
0d684c0d 24fb7aeb 0 3263c6f8 0
118cd0de 8053a80a 4 00000000 1
0d13e3bd 8da711e1 2 1a27c77a 0
a64a8ba0 aa875340 7 00000001 0
8884e43d 179a433a a 00000022 0
18f64ca8 bdc1e01f 2 00000000 1
294670b7 135d2554 8 3a1b55e3 0
81c334ac a50e584e f 8102100c 0
2fc39fda 9743bfe2 4 00000000 1
0794eec9 aa37cfe1 d afb7efe9 0
12542e55 32513dd1 f 12502c51 0
20b76132 0c70516f f 00304122 0
3c284d5d 186c44fb 2 e8000000 0
beb32276 9933d9f7 7 00000000 1
26d4862d a613d4dc b 00000002 0
312a7617 95737b44 b 0312a761 0
8554587f 025bc7ba 6 00000000 1
a6410173 36559a99 d b6559bfb 0
027d5d6c b9a25a07 6 00000001 0
24cfc61e 00d786c6 a 00933f18 0
b70c2139 120901e0 f 12080120 0
9511c944 2ed79bf3 d bfd7dbf7 0
3c74e5f4 bc56f4fc a 00000003 0
905837b5 361e2cc7 7 00000000 1
29dfe5f9 889b8d64 5 00000000 1
26b75c98 0b22bfb9 9 2d95e321 0
1fcbc8b2 15745dc9 f 15404880 0
bb617505 bd6d2ca6 b feed85d4 0
14ee9d27 3386445c f 10860404 0
ad02dcf2 9e851a06 d bf87def6 0
2412a542 1455376c 8 3047922e 0
1effd239 8e979251 9 90684068 0
aeced9d8 3c46f132 6 00000000 1
8b23289a 9307397a d 9b2739fa 0
8c0ea2c6 bb3a189f 9 3734ba59 0
30f1d60d 0b42df81 9 3bb3098c 0
339197d0 8dc39b04 e 01819300 0
286148c3 b7639893 3 46180000 0
b08f8e03 a2b72ee5 d b2bfaee7 0
b96b109b 1a2bf431 9 a340e4aa 0
a5eb0abe 3d4a7a5b 3 f0000000 0
887e1bfe 951c344c 6 00000001 0
9d66c0bd b3c127d5 6 00000001 0
91822c62 398cd260 0 cb0efec2 0
0177ccb4 052be211 1 fc4beaa3 0
b7b248df 34af03f4 e 34a200d4 0
067c4e55 165ecca6 4 00000001 0
88406598 bea69908 4 00000001 0
b42187e5 3efca87d 7 00000000 1
184a44ee 15edce51 8 0da78abf 0
bb0631a1 92f1fbfc b fffffffb 0
0c4d53b1 9861d25e f 08415210 0
14a6f7a3 ab725ce0 e 002254a0 0
3fe4fbd0 027317f6 5 00000000 1
1cdcf80b 8428edf2 f 0408e802 0
983eb130 0b18714c e 08183100 0
ac3fdc98 b5df5514 5 00000001 0
b25262b6 0039a6e1 7 00000000 1
81f1a5ee 978c6e68 3 f1a5ee00 0
bf868dad 3b799a2c a 000bf868 0
09654043 0154df73 0 0aba1fb6 0
28118406 8a4f5759 e 08010400 0
05e6502d 3aabf98e 1 cb3a569f 0
99ff9628 3e9192c7 9 a76e04ef 0
31b623b6 2d5ca506 1 04597eb0 0
ae6d4f49 15aebe07 f 042c0e01 0
b1c02715 b2ece6b1 b ffffd8e0 0
ac1d5f8d 04ee758d 7 00000000 1
28fcf58f 205b87f0 6 00000000 1
0f3bb955 8833d353 7 00000001 0
3fc16e74 3df80d46 1 01c9612e 0
09b6df88 16e58416 1 f2d15b72 0
2356eb35 058a8a19 3 6a000000 0
0e3af8bc 27afa401 f 062aa000 0
215a9efa b8c81035 5 00000000 1
91797f8a 37fc34d9 3 14000000 0
98789954 8c98881e 2 00000000 1
2a0fea74 a723430c f 22034204 0
8d46acd1 ab57bb67 c af57bff7 0
bef1761c a76a582c 3 1761c000 0
8e15e79b 18e6d479 9 96f333e2 0
aee46ac7 181078c2 7 00000000 1
3bbb2f78 b6ee9f92 6 00000001 0
b13cd263 93c1f07d d b3fdf27f 0
0f65bbb5 ae67feed c af67fffd 0
88a4ae7e a5f26b21 b c452573f 0
16c2e6e5 850fd844 2 6c2e6e50 0
2456e5f4 b7b599cf f 241481c4 0
a7c9f785 0a1b5435 4 00000001 0
a2de6849 21d53b71 0 c4b3a3ba 0
04af59da b509282f a 0000095e 0
bb0578db 35fe9c77 7 00000000 1
169326a6 b42ee1ed e 140220a4 0
043c4672 84085523 4 00000000 1
92b28987 a61ed7b4 5 00000001 0
1768f3e6 2a618718 b 00000017 0
91ea7722 b9ba0ac0 8 28507de2 0
b3a694c3 a9f6e9ea 2 9a530c00 0
25947662 9c5a81b2 e 04100022 0
20286d37 05d5ebdc a 00000002 0
8ed2d972 1c1df6d4 8 92cf2fa6 0
95000eb5 361d5717 6 00000000 1
3686f243 9dfc3a90 f 14843200 0
3042430a abc91cf5 1 84792615 0
245263b7 2400ec73 e 24006033 0
0b852dda 181ef03a d 1b9ffdfa 0
021c7bc4 8781bd88 3 1c7bc400 0
0f76b0c3 a68a0454 0 b600b517 0
3fb6d437 a5eedcfb c bffedcff 0
8fc6808d 22fbeaf6 1 6cca9597 0
2f5f9ed8 345b0c37 b 0000005e 0
b1588a3b 28c9f2a8 e 20488228 0
3ffd4f1a a6963207 3 fea78d00 0
874bd4d8 37686824 3 74bd4d80 0
950916a9 ba352c63 f 90010421 0
98fa894c 3243019a a 00000026 0
2e553366 aca5a6df 1 81af8c87 0
8bcdc3a6 a841562c a 0008bcdc 0
a2d2acb7 94e8700b 9 363adcbc 0
1f3c599b 0d826547 3 9e2ccd80 0
a9c92339 ae4aba1e 9 07839927 0
b016e82a 9f21a8a1 b d80b7415 0
94ef912f 010673b5 d 95eff3bf 0
b9b94ea5 bcc8c8ff a 00000001 0
3c049b46 a85003a2 2 f0126d18 0
b07ecf8f a71ba11b 8 17656e94 0
b7a42889 a3093ef4 c b7ad3efd 0
0056700d 8c14133d 6 00000001 0
2d373593 0cda7ab9 3 26000000 0
1d0b6ce1 a38aa55a e 010a2440 0
20f70a65 b920b338 b 00000020 0
8f6fc824 9e44ace6 8 112b64c2 0
8d1ef370 17c67889 e 05067000 0
2b2c1d3b 190bde98 9 3227c3a3 0
a68c2da7 b59f34da e a48c2482 0
04a920ba 2b6227c5 0 300b487f 0
87292abb b6a882c1 b c394955d 0
3d1a0832 8e941e2e b 0000f468 0
b5977dd2 000a3a67 9 b59d47b5 0
34579a24 86036047 f 04030004 0
b7be7253 926a2a7e 7 00000000 1
8cd3e882 aca4c36a d acf7ebea 0
92f455a2 bac4ae2d 9 2830fb8f 0
9593488e 9dd27674 f 95924004 0
18a2a9da a8858b80 e 08808980 0
88bc88f8 a0a29eb0 4 00000001 0
295b9aed 8b614e04 e 09410a04 0
02e2c383 9532ba2e f 00228202 0
3a80f8b0 81e7b78e 6 00000001 0
0fdb81a0 2a4b0dd0 8 25908c70 0
2bb8f7bb 038df55f d 2bbdf7ff 0
0d8bd3ba a00ae6ae 3 f4ee8000 0
218ae02c b56a1a26 c b5eafa2e 0
9bb7012f 994bcda7 0 3502ced6 0
31a06ca4 28a07d93 4 00000000 1
817e2b23 01a3c93b b fffffff0 0
3b453d1c 83f4a06a 3 14f47000 0
05d52eb3 20f53cfa 2 cc000000 0
13e6386a 37c82066 e 13c02062 0
97e45332 1fb4af2d 2 8a664000 0
83695480 3c393147 b ff06d2a9 0
36d76f79 08160c8f 9 3ec163f6 0
af5450d7 a4da08db 9 0b8e580c 0
364fbd6b 0087b722 a 0d93ef5a 0
0decc783 b41141e8 f 04004180 0
ad3b1d3f 9aec188d 8 37d705b2 0
937de8d9 b1bdfe3d 5 00000001 0
b887a22f 2a3ce180 6 00000000 1
0c278aba 057e925a 3 e8000000 0
a9b5789b a53ce715 e a1346011 0
03b83fdc 1c7cd56a f 00381548 0
a2f799c6 39337c2b 8 9bc4e5ed 0
831abca1 9d475e81 c 9f5ffea1 0
af32e3ab 1a8a8821 a 579971d5 0
102fb667 81f01462 d 91ffb667 0
bbbc1bad 238e4587 c bbbe5faf 0
08d3f753 89328f3b 1 7fa16818 0
a47330ff b26b529d 1 f207de62 0
2d1e63fb 330f7410 b 00002d1e 0
28515021 bfdc62b1 5 00000000 1
3ef47989 13eab7d2 1 2b09c1b7 0
854a12c4 9efcbac4 d 9ffebac4 0
0e20aa28 1adc2c57 6 00000001 0
8de0dfeb 84d984fa 6 00000000 1
205a42d6 1c75eba7 6 00000000 1
317c7632 237e3dbe 8 12024b8c 0
2bac00f1 b2f33660 7 00000001 0
12302e6e 185b5aa5 2 4605cdc0 0
97e0ff20 3759381d a 00000004 0
873b5737 b1019e77 9 363ac940 0
38a5f862 24b7f123 3 c52fc310 0
3b2ea9f0 234fa6e2 8 18610f12 0
364bdd62 8752cec4 7 00000001 0
9746d865 0f466fc1 e 07464841 0
2e17ab6f 1523d434 2 b6f00000 0
8b231e25 80ea1d0a 9 0bc9032f 0
3d492da1 1bbaabc7 4 00000000 1
20a8ab19 b7aa27ae a 000082a2 0
b3072010 b9339cd0 d bb37bcd0 0
977a3502 bee3db1c c bffbff1e 0
159ae22c 027ec498 d 17fee6bc 0
221313ed 2844b828 1 f9ce5bc5 0
866a509a b0f62128 d b6fe71ba 0
b83291c0 84e51f78 4 00000000 1
a658d019 1bc18ada 2 64000000 0
2edf1761 9518e8d2 1 99c62e8f 0
b13e5a60 073a35ed 0 b878904d 0
8defb22f 190b15db f 090b100b 0
a35acafc 1d18cf8f 4 00000001 0
15aa9ac5 3d6d6e23 3 ad54d628 0
a6bd8d8b 13dad21c d b7ffdf9f 0
bca1823d 178b579b 2 e8000000 0
88bcf7ea 9269d283 d 9afdf7eb 0
8695856a 8b4279c1 2 0d2b0ad4 0
18b6da37 9eafdd0c b 00018b6d 0
98d74dc6 937c7b24 3 8d74dc60 0
198373ae 8a6909f8 e 080101a8 0
8721ae09 82e5c01b b fffffff0 0
a5ffd6ce 811a52b5 e 811a5284 0
25abfc9e 36bb4eb3 7 00000001 0
1763a84a 3cb8ee93 d 3ffbeedb 0
a1ada073 a8acaf4a 6 00000001 0
a90e5ba9 24332a43 3 4872dd48 0
a15244dd 96f11a52 e 80500050 0
89aaedb1 17a3d787 f 01a2c581 0
9e95877b 22c65329 3 2b0ef600 0
8cae6fe5 19982adb c 9dbe6fff 0
be473f6a 15b88514 b fffffbe4 0
893fd1c3 837eb300 3 893fd1c3 0
34f14721 3d31a2b3 8 09c0e592 0
acd48384 2cdc1aac e 2cd40284 0
871c0acb 01e4f992 8 86f8f359 0
a7cca389 09a4a6d2 1 9e27fcb7 0
80ef1300 15d7b29e a 00000002 0
2999b2c5 2b92743a a 0000000a 0
0ae5682b 8fe6a5a6 9 8503cd8d 0
a8039db3 ad156563 2 401ced98 0
add58cfa 16bb8935 a 0000056e 0
324b8ec4 81fe0de7 a 0064971d 0
9049feac 1f53f166 f 1041f024 0
9d054c4f a2b342d6 f 80014046 0
219fb822 84558f7b 1 9d4a28a7 0
aea5a755 aa5fdfc3 d aeffffd7 0
2d3030f0 a38b8964 0 d0bbba54 0
26e489cb b7215679 f 26200049 0
983a4bea 0606db7d f 00024b68 0
8c26d21e 0ce4d395 6 00000000 1
810bb0e2 a57e5824 4 00000001 0
2251af2d 9040b471 c b251bf7d 0
bc63b38e 2eaecff7 0 eb128385 0
9586eaf4 0e324b2a 0 a3b9361e 0
2fcbbdca 34908ade 3 80000000 0
015a5392 984f8ba4 6 00000001 0
2c27c5c0 ab624d2c 0 d78a12ec 0
1a4b8978 2a96c8dd 5 00000001 0
9b6a3891 bca4fd76 d bfeefdf7 0
235336e5 80a733e7 c a3f737e7 0
37000095 1e426eff 1 18bd9196 0
0c82e7f2 9bd4e667 0 a857ce59 0
ba177a51 973ea9b9 a 0000005d 0
a1dd33e1 aa18f86a 6 00000001 0
8390d5af 8b6e9455 9 08fe41fa 0
1a92776d 279405e9 0 42267d56 0
87099921 8dcaf5da 3 84000000 0
a90b5549 a0ec2a60 7 00000000 1
ab05d2ac 9e212baf 1 0ce4a6fd 0
2b335d14 146d6937 f 00214914 0
abea871f 2302fe2c 0 ceed854b 0
10a86a66 ba7ec7f3 2 53300000 0
b812b1d0 abde8103 c bbdeb1d3 0
018454cc 23981b67 3 c22a6600 0
a0e6b7be 19753621 3 41cd6f7c 0
0c9e36c2 827ec367 b 00193c6d 0
978e1eee 3bd008dc 4 00000001 0
af423512 8d3ad89b 4 00000000 1
a158b751 8d2afc83 5 00000000 1
2a799924 85cd368c 1 a4ac6298 0
28b3bc9c 383764b2 b 00000a2c 0
1b1d1017 9d56e00b d 9f5ff01f 0
b319e0d8 166b7ef2 0 c9855fca 0
b21245cc a8f78e6a 9 1ae5cba6 0
bafdb597 10049c8b 0 cb025222 0
812d2e1a 2f56dc56 7 00000000 1
1e6d9e0b 0ba6889e c 1fef9e9f 0
1f4fefef 185a7b29 d 1f5fffef 0
a7a5e674 ae8e49d3 0 56343047 0
338a5d06 a63e4e0a 2 29741800 0
14935da5 18769846 d 1cf7dde7 0
0b0ffe75 3fd9b03e 5 00000001 0
94c26b89 0f662f79 f 04422b09 0
0102514d 9f752471 6 00000001 0
a2efabf3 3fc8d971 c bfeffbf3 0
392c27f2 984540dc 5 00000000 1
10031f1c 944d7b4b 6 00000001 0
07ec1404 be37709e b 00000000 1
b0de999c bf21dceb 5 00000001 0
a1a111e4 b852249a 8 19f3357e 0
8f12d3ca 234e2c94 f 03020080 0
9b21ba3f 8da2deb8 5 00000000 1
261fdcb3 a905ac83 2 30fee598 0
aad24f2c b7393061 c bffb7f6d 0
03915739 32eedbf3 f 02805331 0
3f13e1af 17646186 2 c4f86bc0 0
b7e257fa 2c7a9604 5 00000001 0
aaf1d9ce 0ef70f99 f 0af10988 0
10b20901 0a88e07e 4 00000000 1
24ff2e79 2d073c3c 7 00000001 0
ba77f479 1fb2c971 b ffffdd3b 0
a686e3ec 8c290995 a 00000534 0
907e11d8 1cbf0e18 f 103e0018 0
2a45465a 01e1d685 9 2ba490df 0
b59d7940 83cfa685 f 818d2000 0
22109c00 398a9f3b c 3b9a9f3b 0
b6ac86fe 8213090f 2 437f0000 0
01df04f9 13a406d1 9 127b0228 0
996c4d78 17c9556b c 9fed5d7b 0
3cd0c05a 9513ccf8 8 a9c30ca2 0
bf2385e9 b99d6af9 d bfbfeff9 0
0df5e58c 3f863ee1 2 1bebcb18 0
91e850b1 b07286ba 7 00000001 0
2aad9ddb 3cb77ce3 2 556ceed8 0
36171431 35ddb4d1 6 00000000 1
0f97ddae 0214c690 6 00000000 1
172c3567 aba2f6b4 b 00000172 0
0339d5f0 20c0f530 7 00000001 0
87c4cfbe 1bb9ca4e 7 00000000 1
b28da580 bfa1f0e4 6 00000001 0
b83789d6 b4768fbf 7 00000000 1
3bda87d1 a9d1ced8 b 0000003b 0
25d23b30 398a7284 c 3dda7bb4 0
9b5228ff 134ef754 2 8ff00000 0
3e5f5aff aebb4824 5 00000000 1
030d38fb 20814087 8 238c787c 0
b04d328f 9c5719bd c bc5f3bbf 0
3d261ea5 82bee75c 1 ba673749 0
27589dfb bf701707 c bf789fff 0
12cc18eb 8498c9c6 4 00000000 1
3047d434 892b5099 8 b96c84ad 0
9e48ff43 14614e3f 1 89e7b104 0
93e8cb80 88711ca7 9 1b99d727 0
b017fc1d 21f20a6a 2 5ff07400 0
9215e9f7 008a4465 2 42bd3ee0 0
104b5b1d a6620f1c 2 d0000000 0
a93259b1 0d37d9d7 9 a4058066 0
ad98aa44 90f5d23c d bdfdfa7c 0
ad2b9e9a 92072cb9 f 80030c98 0
0288c848 04360f35 e 00000800 0
82a4002a 16c492bc 9 94609296 0
2768dbcb b0b934ea 1 76afa6e1 0
879d8b75 a5fa6a56 0 2d97f5cb 0
34bae641 18ca247b d 3cfae67b 0
3286724c 0ca538c9 1 25e13983 0
8df8028d 08bbae2e c 8dfbaeaf 0
233bea64 8356533e d a37ffb7e 0
2fb032ce 3b50725d 8 14e04093 0
2f28fbc6 991877f9 e 090873c0 0
3611b9d1 a045a23d 4 00000000 1
0250f7ee 379f6815 3 fdc00000 0
0a23ac19 34af20d2 a 00000288 0
aab02b64 8e54434c f 8a100344 0
84047989 39674673 8 bd633ffa 0
b20051b7 2700eeb7 f 220040b7 0
9fb07c0b bb8d99a4 e 9b801800 0
3386781c 22ef7c84 3 386781c0 0
a7e5e8cc bd92be3c c bff7fefc 0
0843dd28 2a83ae1a b 00000002 0
3fe828e6 05033800 6 00000000 1
1b650c57 3b629321 0 56c79f78 0
80f9eb90 09df7845 1 771a734b 0
a38a825d 8263c766 8 21e9453b 0
3b8b0727 a7e5163c 9 9c6e111b 0
8307a37d 96b1369a 6 00000001 0
1e3947ad 28e317e4 2 e3947ad0 0
19f5c74f 02856853 d 1bf5ef5f 0
15dbe89a 30b3e5e8 f 1093e088 0
887525c3 942ef7de 6 00000001 0
b1f6fd0f a834f6c6 5 00000000 1
26371743 bf0c52c3 f 26041243 0
8015c4bf 2428fe17 0 a43ec2d6 0
35f16e39 2864f60b d 3df5fe3b 0
aea42d3a 97858ad8 0 4629b812 0
000f4272 9f11f5a1 0 9f213813 0
a504565d 0e660bef a 00014a08 0
2f89670f b719f26d 5 00000000 1
a2bb2e04 1f62bc77 a 00000145 0
ae6b81fa 1b7a12f9 d bf7b93fb 0
2ab76a64 9cc3916f 3 b5320000 0
bd416827 a87567b9 d bd756fbf 0
89bfa38e bd91f8db 4 00000001 0
01238c05 8fea2f58 2 05000000 0
b0595c08 203b9e81 f 20191c00 0
afe483e1 2f47808b 7 00000000 1
2869bd84 950e0cc1 8 bd67b145 0
80580438 23dec665 1 5c793dd3 0
2e277a1b 367b7040 3 2e277a1b 0
be70ae22 966e891e 2 80000000 0
a9e77396 1fa99358 2 96000000 0
3f70545e b1e100c1 3 7ee0a8bc 0
bd84d1ab b78e628b a 0017b09a 0
1a24e9a6 0b5cb84b 9 117851ed 0
1445dd37 af46056e e 04440526 0
a1b6b955 b2de671c d b3feff5d 0
af3199dd 262edfca 6 00000000 1
97316788 3bbeebc5 c bfbfefcd 0
89f70095 0cb8b4dc 1 7d3e4bb9 0
be9a903a 939bce99 7 00000000 1
35a1bd09 00b23b00 a 35a1bd09 0
a801c50f bc40b393 e a8008103 0
2e7634d8 2243c02f a 00005cec 0
338b2fd1 ba4e7a64 9 89c555b5 0
89723b16 3097a012 6 00000000 1
092fd3bc 0e75c8ce e 0825c08c 0
